rookie_yr,state,count
1871,MD,1
1871,NJ,3
1871,NY,19
1871,Netherlands,1
1871,OH,1
1871,PA,10
1871,United Kingdom,3
1872,CT,3
1872,Cuba,1
1872,DC,1
1872,IA,1
1872,MA,1
1872,NY,19
1872,OH,1
1872,PA,5
1872,United Kingdom,1
1873,CT,1
1873,Canada,1
1873,DC,2
1873,Ireland,1
1873,MA,1
1873,MD,1
1873,ME,1
1873,NY,7
1873,PA,1
1873,VA,1
1874,CT,1
1874,DC,1
1874,Ireland,1
1874,LA,1
1874,NJ,2
1874,NY,3
1874,PA,3
1874,United Kingdom,1
1875,CT,1
1875,DC,1
1875,Ireland,1
1875,MA,2
1875,MO,2
1875,NJ,1
1875,NY,4
1875,PA,8
1875,United Kingdom,1
1876,IL,1
1876,KY,1
1876,MA,4
1876,NC,1
1876,NJ,1
1876,NY,1
1876,OH,2
1876,PA,2
1877,CT,1
1877,ME,1
1877,MO,1
1877,NY,1
1877,OH,1
1877,PA,1
1878,IL,2
1878,IN,1
1878,MA,1
1878,MD,1
1878,MO,1
1878,NY,3
1878,PA,10
1878,RI,1
1878,United Kingdom,1
1878,WI,1
1879,CT,2
1879,Canada,1
1879,DC,1
1879,IL,1
1879,Ireland,1
1879,KY,1
1879,MA,8
1879,MD,2
1879,ME,1
1879,NH,1
1879,NJ,2
1879,NY,10
1879,OH,2
1879,PA,1
1879,RI,2
1879,United Kingdom,1
1879,WV,1
1880,CT,3
1880,Canada,3
1880,GA,1
1880,MA,3
1880,MD,1
1880,NY,4
1880,OH,2
1880,PA,6
1880,RI,1
1881,DC,1
1881,IL,1
1881,MA,3
1881,MD,1
1881,NY,4
1881,OH,1
1881,PA,1
1882,CA,1
1882,CT,4
1882,IL,2
1882,Ireland,3
1882,KY,5
1882,MA,1
1882,MD,2
1882,MO,4
1882,NY,11
1882,OH,1
1882,PA,13
1882,RI,1
1882,United Kingdom,2
1882,VT,1
1883,CA,2
1883,CT,1
1883,Canada,1
1883,DC,2
1883,Germany,1
1883,IA,1
1883,IL,1
1883,Ireland,2
1883,KY,1
1883,MA,6
1883,ME,1
1883,MO,1
1883,NH,1
1883,NJ,1
1883,NY,7
1883,OH,4
1883,PA,7
1883,RI,1
1883,United Kingdom,1
1883,WI,1
1884,CA,6
1884,CT,2
1884,Canada,8
1884,DC,2
1884,FL,1
1884,GA,2
1884,Germany,2
1884,IA,2
1884,IL,13
1884,IN,3
1884,Ireland,2
1884,KS,1
1884,KY,4
1884,LA,1
1884,MA,20
1884,MD,3
1884,MI,1
1884,MO,4
1884,NH,2
1884,NJ,3
1884,NY,17
1884,OH,11
1884,PA,29
1884,RI,3
1884,TN,1
1884,United Kingdom,2
1884,VA,4
1884,VT,2
1884,WI,2
1884,WV,3
1885,Canada,3
1885,IL,2
1885,IN,2
1885,MA,2
1885,MD,1
1885,MO,1
1885,MS,1
1885,NH,1
1885,NY,3
1885,OH,2
1885,PA,7
1885,RI,4
1885,VT,2
1885,WI,2
1886,DC,1
1886,IL,5
1886,Ireland,1
1886,KY,2
1886,LA,1
1886,MA,6
1886,MD,1
1886,MN,1
1886,MO,1
1886,NY,3
1886,OH,5
1886,PA,8
1886,RI,1
1886,VA,1
1886,WI,3
1887,CA,1
1887,CT,2
1887,Ireland,1
1887,KY,3
1887,MA,6
1887,ME,1
1887,MO,3
1887,NJ,1
1887,NY,5
1887,OH,7
1887,PA,8
1887,RI,1
1887,VA,1
1887,WI,1
1888,CA,1
1888,DC,2
1888,DE,1
1888,IA,1
1888,IL,2
1888,KY,4
1888,MA,2
1888,MD,4
1888,ME,1
1888,MI,1
1888,MN,2
1888,MO,1
1888,MS,1
1888,NJ,3
1888,NY,8
1888,OH,7
1888,PA,6
1888,RI,1
1888,VA,1
1888,VT,1
1888,WI,2
1889,AL,1
1889,CA,1
1889,CT,2
1889,Canada,1
1889,DE,2
1889,IA,1
1889,IL,3
1889,IN,3
1889,KY,3
1889,MA,3
1889,MD,1
1889,MN,1
1889,MO,5
1889,NH,1
1889,NJ,1
1889,NY,3
1889,OH,2
1889,PA,8
1889,WV,1
1890,AB,1
1890,CA,2
1890,CT,2
1890,Canada,2
1890,DC,1
1890,DE,1
1890,GA,1
1890,IL,6
1890,IN,2
1890,Ireland,4
1890,KY,3
1890,MA,9
1890,MD,3
1890,MI,4
1890,MN,1
1890,MO,3
1890,NH,1
1890,NJ,5
1890,NY,19
1890,OH,14
1890,PA,20
1890,RI,5
1890,SC,1
