name,rookie_yr,birth_state
Art Allison,1871,PA
Doug Allison,1871,PA
Ross Barnes,1871,NY
Dave Birdsall,1871,NY
Asa Brainard,1871,NY
Ned Cuthbert,1871,PA
Dave Eggler,1871,NY
Bob Ferguson,1871,NY
Cherokee Fisher,1871,PA
Wes Fisler,1871,NJ
Clipper Flynn,1871,NY
Davy Force,1871,NY
Charlie Gould,1871,OH
George Hall,1871,United Kingdom
John Hatfield,1871,NJ
Gene Kimball,1871,NY
Steve King,1871,NY
Andy Leonard,1871,
Fergy Malone,1871,
Bobby Mathews,1871,MD
Bub McAtee,1871,NY
Dick McBride,1871,PA
Mike McGeary,1871,PA
John McMullin,1871,PA
Cal McVey,1871,IA
Charlie Mills,1871,NY
Everett Mills,1871,NJ
Charlie Pabor,1871,NY
Tom Patterson,1871,
Dickey Pearce,1871,NY
Al Pratt,1871,PA
John Radcliff,1871,PA
Al Reach,1871,United Kingdom
Harry Schafer,1871,PA
Al Spalding,1871,IL
Joe Start,1871,NY
Fred Waterman,1871,NY
Deacon White,1871,NY
Rynie Wolters,1871,Netherlands
Jimmy Wood,1871,NY
Harry Wright,1871,United Kingdom
Tom York,1871,NY
George Zettlein,1871,NY
Cap Anson,1872,IA
Tom Barlow,1872,NY
George Bechtel,1872,PA
Steve Bellan,1872,Cuba
Cy Bentley,1872,CT
Eddie Booth,1872,NY
Bill Boyd,1872,NY
Jim Britt,1872,NY
Jack Burdock,1872,NY
Frank Buttery,1872,CT
Tom Carey,1872,NY
Jim Carleton,1872,CT
Bill Craver,1872,NY
Candy Cummings,1872,MA
Herman Dehlman,1872,NY
Chick Fulmer,1872,PA
John Glenn,1872,NY
Scott Hastings,1872,OH
Nat Hicks,1872,NY
Dick Higham,1872,United Kingdom
Charlie Hodes,1872,NY
Denny Mack,1872,PA
Phonney Martin,1872,NY
James McDermott,1872,
Levi Meyerle,1872,PA
Lip Pike,1872,NY
Jack Remsen,1872,NY
Fraley Rogers,1872,NY
Count Sensenderfer,1872,PA
Joe Simmons,1872,NY
Bill Stearns,1872,DC
Ezra Sutton,1872,NY
Fred Treacey,1872,NY
George Wright,1872,NY
Bob Addy,1873,Canada
Tommy Beals,1873,NY
Oscar Bielaski,1873,DC
Hugh Campbell,1873,Ireland
John Clapp,1873,NY
Jim Clinton,1873,NY
John Donnelly,1873,PA
Frank Fleet,1873,NY
Count Gedney,1873,NY
Wally Goldsmith,1873,MD
John Greason,1873,
Paul Hines,1873,VA
Jim Holdsworth,1873,NY
Holly Hollingshead,1873,DC
Jack Manning,1873,MA
Tim Murnane,1873,CT
Candy Nelson,1873,ME
Warren White,1873,NY
Billy Barnie,1874,NY
Joe Battin,1874,PA
Tommy Bond,1874,Ireland
Jack Chapman,1874,NY
Bobby Clack,1874,United Kingdom
Harry Deane,1874,NJ
Jim Devlin,1874,PA
John Farrow,1874,NY
John Peters,1874,LA
Johnny Ryan,1874,PA
Frank Sellman,1874,
Pop Snyder,1874,DC
Charlie Sweasy,1874,NJ
Jim Tipper,1874,CT
Joe Blong,1875,MO
Joe Borden,1875,NJ
George Bradley,1875,PA
Steve Brady,1875,MA
John Cassidy,1875,NY
Pud Galvin,1875,MO
Billy Geer,1875,
Joe Gerhardt,1875,DC
Mike Golden,1875,MA
Bill Hague,1875,PA
Jimmy Hallinan,1875,Ireland
Bill Harbridge,1875,
Henry Kessler,1875,NY
