birth_state,name,rookie_yr
CO,David Aardsma,2006
GA,Reggie Abercrombie,2006
AZ,Jeremy Accardo,2006
CA,Chris Aguila,2006
Venezuela,Eliezer Alfonzo,2006
MD,Brian Anderson,2006
Dominican Republic,Willy Aybar,2006
AR,Josh Barfield,2006
Dominican Republic,Jose Bautista,2006
NJ,Jason Bergmann,2006
OH,Chad Billingsley,2006
FL,Boof Bonser,2006
TX,Rob Bowen,2006
VA,Bill Bray,2006
Dominican Republic,Eude Brito,2006
FL,Chris Britton,2006
GA,Jonathan Broxton,2006
PA,Taylor Buchholz,2006
CA,Mike Burns,2006
NC,Freddie Bynum,2006
Puerto Rico,Fernando Cabrera,2006
Dominican Republic,Melky Cabrera,2006
AL,Matt Cain,2006
Dominican Republic,Jose Capellan,2006
GA,Matt Capps,2006
Dominican Republic,Bernie Castro,2006
Dominican Republic,Fabio Castro,2006
Venezuela,Ronny Cedeno,2006
CA,Tim Corcoran,2006
CA,Shane Costa,2006
ND,Chris Coste,2006
Dominican Republic,Nelson Cruz,2006
LA,Casey Daigle,2006
MA,Manny Delcarmen,2006
CT,Chris Denorfia,2006
Puerto Rico,Matt Diaz,2006
FL,Lenny DiNardo,2006
GA,Stephen Drew,2006
VT,Chris Duffy,2006
AZ,Chris Duncan,2006
AZ,Andre Ethier,2006
WA,Dana Eveland,2006
CA,Willie Eyre,2006
TX,Brandon Fahey,2006
HI,Scott Feldman,2006
CA,Prince Fielder,2006
Dominican Republic,Bartolome Fortunato,2006
AR,Choo Freeman,2006
Colombia,Emiliano Fruto,2006
Dominican Republic,Jose Garcia,2006
PA,Ryan Garko,2006
Dominican Republic,Esteban German,2006
Dominican Republic,Alexis Gomez,2006
Venezuela,Enrique Gonzalez,2006
IL,Tom Gorzelanny,2006
Venezuela,Franklin Gutierrez,2006
Venezuela,Angel Guzman,2006
Dominican Republic,Freddy Guzman,2006
CA,Cole Hamels,2006
NY,Tim Hamulack,2006
KY,Corey Hart,2006
MN,Ben Hendrickson,2006
TX,Clay Hensley,2006
GA,Jeremy Hermida,2006
Puerto Rico,Roberto Hernandez,2006
MA,Rich Hill,2006
KS,Travis Hughes,2006
CA,Joe Inglett,2006
TX,Conor Jackson,2006
KY,Mike Jacobs,2006
MO,Chuck James,2006
CA,Casey Janssen,2006
CA,Bobby Jenks,2006
Japan,Kenji Johjima,2006
SC,Ben Johnson,2006
IL,Josh Johnson,2006
OK,Matt Kemp,2006
FL,Howie Kendrick,2006
TX,Logan Kensing,2006
FL,Jeff Keppinger,2006
AZ,Ian Kinsler,2006
IL,Justin Knoedler,2006
FL,John Koronka,2006
SD,Jason Kubel,2006
CA,Brandon League,2006
NV,Justin Leone,2006
WA,Jon Lester,2006
Dominican Republic,Francisco Liriano,2006
Canada,Adam Loewen,2006
Dominican Republic,Ruddy Lugo,2006
MS,Paul Maholm,2006
VA,John Maine,2006
Dominican Republic,Julio Manon,2006
MO,Shaun Marcum,2006
NY,Nick Markakis,2006
Dominican Republic,Carlos Marmol,2006
VA,Sean Marshall,2006
Dominican Republic,Andy Marte,2006
Canada,Russell Martin,2006
Dominican Republic,Juan Mateo,2006
GA,Macay McBride,2006
GA,Dustin McGowan,2006
MI,Nate McLouth,2006
AL,Brandon Medders,2006
VA,Cla Meredith,2006
NV,Randy Messenger,2006
KS,Lastings Milledge,2006
MO,Zach Miner,2006
Cuba,Kendrys Morales,2006
GA,Chad Mottola,2006
NE,Scott Munter,2006
OH,Clint Nageotte,2006
FL,Mike Napoli,2006
Venezuela,Fernando Nieve,2006
CA,Ricky Nolasco,2006
MI,Scott Olsen,2006
WA,Chad Orvella,2006
Puerto Rico,Angel Pagan,2006
LA,Jonathan Papelbon,2006
Dominican Republic,Ronny Paulino,2006
CA,Hayden Penn,2006
Dominican Republic,Joel Peralta,2006
AL,Andy Phillips,2006
AL,Paul Phillips,2006
CA,Carlos Quentin,2006
TX,Omar Quintanilla,2006
Dominican Republic,Elizardo Ramirez,2006
Dominican Republic,Hanley Ramirez,2006
Dominican Republic,Ramon Ramirez,2006
FL,Chris Ray,2006
GA,Ken Ray,2006
CA,Anthony Reyes,2006
IL,John Rheinecker,2006
Puerto Rico,Rene Rivera,2006
Puerto Rico,Saul Rivera,2006
Dominican Republic,Sendy Rleal,2006
TX,Chris Roberson,2006
Puerto Rico,Eddy Rodriguez,2006
Dominican Republic,Eddie Rogers,2006
Panama,Davis Romero,2006
CA,Mike Rose,2006
NM,Cody Ross,2006
Japan,Takashi Saito,2006
Venezuela,Anibal Sanchez,2006
VA,Joe Saunders,2006
FL,Luke Scott,2006
OK,Brian Shackelford,2006
FL,Ryan Shealy,2006
TN,George Sherrill,2006
GA,James Shields,2006
GA,Jason Shiell,2006
MI,Brian Sikorski,2006
IL,Allan Simpson,2006
VA,Mike Smith,2006
MD,Chris Snelling,2006
OH,Jeremy Sowers,2006
CA,Ryan Spilborghs,2006
KY,Steve Stemle,2006
NY,Brian Sweeney,2006
OK,Brian Tallet,2006
LA,Ryan Theriot,2006
CO,Mike Thompson,2006
KY,Dan Uggla,2006
VA,Justin Verlander,2006
HI,Shane Victorino,2006
Dominican Republic,Carlos Villanueva,2006
GA,Adam Wainwright,2006
CA,Jered Weaver,2006
OH,Josh Willingham,2006
