birth_state,name,rookie_yr
OK,Lane Adams,2017
Venezuela,Jesus Aguilar,2017
Curacao,Ozzie Albies,2017
Dominican Republic,Raul Alcantara,2017
,Scott Alexander,2017
PA,Dan Altavilla,2017
FL,Jose Alvarado,2017
NC,Shawn Armstrong,2017
Venezuela,Carlos Asuaje,2017
FL,Johnny Barbato,2017
OR,Danny Barnes,2017
TX,Chris Beck,2017
OH,Chad Bell,2017
IL,Josh Bell,2017
AZ,Cody Bellinger,2017
OH,Andrew Benintendi,2017
CO,Ty Blach,2017
CA,Paul Blackburn,2017
Dominican Republic,Jorge Bonifacio,2017
Dominican Republic,Lisalverto Bonilla,2017
MS,Chasen Bradford,2017
CA,Michael Brady,2017
CA,Steven Brault,2017
MA,John Brebbia,2017
Hong Kong,Austin Brice,2017
TX,Parker Bridwell,2017
AZ,Jaycob Brugman,2017
GA,Alan Busenitz,2017
Panama,Johan Camargo,2017
NY,Jeimer Candelario,2017
Dominican Republic,Luis Castillo,2017
Dominican Republic,Simon Castro,2017
CA,Matt Chapman,2017
Panama,Allen Cordoba,2017
,Jharel Cotton,2017
CA,Dylan Covey,2017
TX,Kyle Crick,2017
TN,Matt Davidson,2017
AL,Grant Dayton,2017
FL,Paul DeJong,2017
TN,Nicky Delmonico,2017
IA,Matt Dermody,2017
Dominican Republic,Rafael Devers,2017
Venezuela,Elias Diaz,2017
CA,Miguel Diaz,2017
Cuba,Yandy Diaz,2017
MA,Oliver Drake,2017
OH,Adam Engel,2017
CA,Jake Faria,2017
PA,Derek Fisher,2017
CA,Dylan Floro,2017
GA,Clint Frazier,2017
CO,Kyle Freeland,2017
FL,Mike Freeman,2017
FL,Rey Fuentes,2017
FL,Ben Gamel,2017
Dominican Republic,Jarlin Garcia,2017
Dominican Republic,Willy Garcia,2017
CA,Amir Garrett,2017
OR,Sam Gaviglio,2017
CA,Lucas Giolito,2017
CA,Tyler Glasnow,2017
OK,Koda Glover,2017
Venezuela,Marco Gonzales,2017
Dominican Republic,Erik Gonzalez,2017
NC,Brian Goodwin,2017
SC,Daniel Gossett,2017
NC,Matt Grace,2017
Venezuela,Juan Graterol,2017
CA,Robert Gsellman,2017
TX,Jason Gurka,2017
MD,Josh Hader,2017
CA,Mitch Haniger,2017
Dominican Republic,Alen Hanson,2017
PA,Ian Happ,2017
TX,Donnie Hart,2017
MA,Steve Hathaway,2017
Cuba,Guillermo Heredia,2017
Dominican Republic,Teoscar Hernandez,2017
VA,John Hicks,2017
CA,Trevor Hildenberger,2017
OH,Jeff Hoffman,2017
PA,Jonathan Holder,2017
CA,Rhys Hoskins,2017
OH,Jared Hoying,2017
ID,James Hoyt,2017
Venezuela,Greg Infante,2017
FL,Luke Jackson,2017
Dominican Republic,Joe Jimenez,2017
OH,JaCoby Jones,2017
WA,Ryder Jones,2017
CA,Aaron Judge,2017
IL,Jakob Junis,2017
TX,Ty Kelly,2017
NY,Patrick Kivlehan,2017
CA,Andrew Knapp,2017
Dominican Republic,Dinelson Lamet,2017
PA,Casey Lawrence,2017
Dominican Republic,Jose Leclerc,2017
IL,Mark Leiter,2017
FL,Ben Lively,2017
Dominican Republic,Reynaldo Lopez,2017
Venezuela,Dixon Machado,2017
FL,Trey Mancini,2017
Dominican Republic,Manuel Margot,2017
Venezuela,German Marquez,2017
FL,Chris Marrero,2017
Dominican Republic,Francis Martes,2017
PA,Jose Martinez,2017
KY,Phil Maton,2017
Germany,Bruce Maxwell,2017
NY,Kevin McCarthy,2017
Dominican Republic,Adalberto Mejia,2017
IN,Alex Meyer,2017
OR,Keynan Middleton,2017
TX,Hoby Milner,2017
Dominican Republic,Juan Minaya,2017
Cuba,Yoan Moncada,2017
,Frankie Montas,2017
SC,Jordan Montgomery,2017
LA,Andrew Moore,2017
FL,Max Moroff,2017
FL,Taylor Motter,2017
MA,Sean Newcomb,2017
AZ,Brett Nicholas,2017
WY,Brandon Nimmo,2017
CA,Steven Okert,2017
SD,Matt Olson,2017
WA,Tyler Olson,2017
Venezuela,Jose Osuna,2017
SC,Emilio Pagan,2017
Dominican Republic,David Paulino,2017
AZ,James Pazos,2017
Dominican Republic,Felix Pena,2017
Dominican Republic,Wandy Peralta,2017
IN,Cameron Perkins,2017
Venezuela,Manny Pina,2017
VA,Chad Pinder,2017
Venezuela,Ricardo Pinto,2017
Canada,Nick Pivetta,2017
CA,Brooks Pounders,2017
FL,Boog Powell,2017
TX,Austin Pruitt,2017
